mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos
592091,A.J. Achter,P,LAA,Los Angeles Angels,R,R,1988-08-27,66919,achteaj01,A.J. Achter,2146207,A.J. Achter,RP,33637,A.J. Achter,RP,11387,A.J. Achter,P,achteaj01,9824,A.J. Achter,P,achta001,A.J. Achter,2014-09-03,9824,A.J. Achter,18093,A.J. Achter,RP,,,
595918,A.J. Cole,P,TOR,Toronto Blue Jays,R,R,1992-01-05,68086,coleaj01,A.J. Cole,1839916,A.J. Cole,RP,31595,A.J. Cole,RP,11467,A.J. Cole,P,coleaj01,9638,A.J. Cole,P,colea002,A.J. Cole,2015-04-28,9638,A.J. Cole,14940,A.J. Cole,RP,11446,A.J. Cole,P
454560,A.J. Ellis,C,SD,San Diego Padres,R,R,1981-04-09,47564,ellisaj01,A.J. Ellis,1104367,A.J. Ellis,C,29258,A.J. Ellis,C,5677,A.J. Ellis,C,ellisaj01,8373,A.J. Ellis,C,ellia001,A.J. Ellis,2008-09-15,8373,A.J. Ellis,1543,A.J. Ellis,Util,9242,A.J. Ellis,C
456167,A.J. Griffin,P,TEX,Texas Rangers,R,R,1988-01-28,65757,griffaj01,A.J. Griffin,1974327,A.J. Griffin,SP,32559,A.J. Griffin,SP,11132,A.J. Griffin,P,griffaj01,9220,A.J. Griffin,P,grifa002,A.J. Griffin,2012-06-24,9220,A.J. Griffin,13764,A.J. Griffin,RP,12410,A.J. Griffin,P
543362,A.J. Jimenez,C,TEX,Texas Rangers,R,R,1990-05-01,58320,jimenaj01,A.J. Jimenez,1798970,A.J. Jimenez,C,31050,A.J. Jimenez,C,7077,A.J. Jimenez,C,jimenaj01,10813,A.J. Jimenez,C,jimea001,A.J. Jimenez,2017-09-06,,,17777,A.J. Jimenez,Util,12071,A.J. Jimenez,C
621345,A.J. Minter,P,ATL,Atlanta Braves,L,L,1993-09-02,108235,minteaj01,A.J. Minter,2449982,A.J. Minter,RP,36133,A.J. Minter,RP,18655,A.J. Minter,P,minteaj01,10794,A.J. Minter,P,minta001,A.J. Minter,2017-08-23,10794,A.J. Minter,23679,A.J. Minter,RP,13889,A.J. Minter,P
571963,A.J. Morris,P,CIN,Cincinnati Reds,R,R,1986-12-01,60630,morriaj01,A.J. Morris,2119768,A.J. Morris,RP,31602,A.J. Morris,RP,9919,A.J. Morris,P,morriaj01,10301,A.J. Morris,P,morra002,A.J. Morris,2016-05-24,10301,A.J. Morris,12432,A.J. Morris,RP,11065,A.J. Morris,P
640462,A.J. Puk,P,OAK,Oakland Athletics,L,L,1995-04-25,109027,pukaj01,A.J. Puk,2250620,A.J. Puk,RP,36201,A.J. Puk,SP,19343,A.J. Puk,P,,10548,A.J. Puk,P,,,2019-08-21,,,23660,A.J. Puk,SP/RP,13011,,
519263,A.J. Schugel,P,PIT,Pittsburgh Pirates,R,R,1989-06-27,65910,schugaj01,A.J. Schugel,1953535,A.J. Schugel,RP,32202,A.J. Schugel,RP,11432,A.J. Schugel,P,schugaj01,9927,A.J. Schugel,P,schua001,A.J. Schugel,2015-04-12,9927,A.J. Schugel,13794,A.J. Schugel,RP,12445,A.J. Schugel,P
571437,Aaron Altherr,CF,NYM,New York Mets,R,R,1991-01-14,59584,altheaa01,Aaron Altherr,2107840,Aaron Altherr,LF,31738,Aaron Altherr,RF,11270,Aaron Altherr,OF,altheaa01,9734,Aaron Altherr,RF,altha001,Aaron Altherr,2014-06-16,9734,Aaron Altherr,12359,Aaron Altherr,OF,11376,Aaron Altherr,OF
